[2025-02-06 09:44:40,015] [DXL_Communication .DXL_motor_9] [INFO]: disableMotor : Motor9 disarmed SUCCESSFULLY
[2025-02-06 09:51:00,158] [DXL_Communication] [INFO]: activateDXLConnection : Succeeded to open the port
[2025-02-06 09:51:00,165] [DXL_Communication] [INFO]: activateDXLConnection : Succeeded to change the baudrate
[2025-02-06 09:51:00,201] [DXL_Communication .DXL_motor_1] [INFO]: pingMotor : [ID:001] ping Succeeded. Dynamixel model number : 1090
[2025-02-06 09:51:00,233] [DXL_Communication .DXL_motor_2] [INFO]: pingMotor : [ID:002] ping Succeeded. Dynamixel model number : 1060
[2025-02-06 09:51:00,265] [DXL_Communication .DXL_motor_3] [INFO]: pingMotor : [ID:003] ping Succeeded. Dynamixel model number : 1090
[2025-02-06 09:51:00,297] [DXL_Communication .DXL_motor_4] [INFO]: pingMotor : [ID:004] ping Succeeded. Dynamixel model number : 1090
[2025-02-06 09:51:00,329] [DXL_Communication .DXL_motor_5] [INFO]: pingMotor : [ID:005] ping Succeeded. Dynamixel model number : 1060
[2025-02-06 09:51:00,361] [DXL_Communication .DXL_motor_6] [INFO]: pingMotor : [ID:006] ping Succeeded. Dynamixel model number : 1090
[2025-02-06 09:51:00,393] [DXL_Communication .DXL_motor_7] [INFO]: pingMotor : [ID:007] ping Succeeded. Dynamixel model number : 1090
[2025-02-06 09:51:00,425] [DXL_Communication .DXL_motor_8] [INFO]: pingMotor : [ID:008] ping Succeeded. Dynamixel model number : 1060
[2025-02-06 09:51:00,457] [DXL_Communication .DXL_motor_9] [INFO]: pingMotor : [ID:009] ping Succeeded. Dynamixel model number : 1090
[2025-02-06 09:51:00,489] [DXL_Communication .DXL_motor_10] [INFO]: pingMotor : [ID:010] ping Succeeded. Dynamixel model number : 1090
[2025-02-06 09:51:00,521] [DXL_Communication .DXL_motor_11] [INFO]: pingMotor : [ID:011] ping Succeeded. Dynamixel model number : 1060
[2025-02-06 09:51:00,553] [DXL_Communication .DXL_motor_12] [INFO]: pingMotor : [ID:012] ping Succeeded. Dynamixel model number : 1090
[2025-02-06 09:51:00,569] [DXL_Communication .DXL_motor_1] [INFO]: rebootMotor : [ID:1] reboot Succeeded
[2025-02-06 09:51:00,585] [DXL_Communication .DXL_motor_2] [INFO]: rebootMotor : [ID:2] reboot Succeeded
[2025-02-06 09:51:00,625] [DXL_Communication .DXL_motor_3] [ERROR]: rebootMotor : ID:3 reboot Error: [TxRxResult] There is no status packet!
